cb_code,board,school_name,district,state,affiliation_id,level,year_founded,address,pincode,email,management
CB-ICS-AP-00049,CISCE,St. Joseph's Sec. School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Malkapuram,,,
CB-ICS-AP-00050,CISCE,Timpany School,​Visakhapatnam,Andhra Pradesh,,ICSE/ISC,,Aseelmetta,,,
CB-ICS-AP-00051,CISCE,Flaiz Memorial Higher Secondary School of S.D.A.,​West Godavari,Andhra Pradesh,,ICSE/ISC,,Rustumbada Narsapur,,,
CB-ICS-AR-00001,CISCE,Holy Rosary School,​Changlang,Arunachal Pradesh,,ICSE/ISC,,1 Mile Laktong Changlang,,,
CB-ICS-AR-00002,CISCE,Light of The World School,​Changlang,Arunachal Pradesh,,ICSE/ISC,,Miao P. O,,,
CB-ICS-AR-00003,CISCE,Newman School,​Changlang,Arunachal Pradesh,,ICSE/ISC,,Neotan Miao Namphai-1,,,
CB-ICS-AR-00004,CISCE,Don Bosco School,​Papum Pare,Arunachal Pradesh,,ICSE/ISC,,Nonpu Doimukh Papum Pare,,,
CB-ICS-AR-00005,CISCE,Christ King School,​Tirap,Arunachal Pradesh,,ICSE/ISC,,Khonsa Khonsa Tirap,,,
CB-ICS-AR-00006,CISCE,Don Bosco School,​Tirap,Arunachal Pradesh,,ICSE/ISC,,Bosco Nagar Khonsa Tirap,,,
CB-ICS-AR-00007,CISCE,St. George's School,​Tirap,Arunachal Pradesh,,ICSE/ISC,,Deomali,,,
CB-ICS-AS-00001,CISCE,Carmel School,​Jorhat,Assam,,ICSE/ISC,,Cinnamara P. O,,,
CB-ICS-AS-00002,CISCE,Sanskriti The Gurukul,​Kamrup,Assam,,ICSE/ISC,,Village Gugh Ahomgaon P. O. Garchuk Guwahati,,,
CB-ICS-AS-00003,CISCE,Don Bosco School,​Nalbari,Assam,,ICSE/ISC,,Sashipur Darranga Mela Baksa Nalbari... +,,,
CB-ICS-AS-00004,CISCE,The Assam Valley School,​Sonitpur,Assam,,ICSE/ISC,,P. O. & T. O. Balipara,,,
CB-ICS-AS-00005,CISCE,Carmel School,​Tinsukia,Assam,,ICSE/ISC,,Digboi Upper,,,
CB-ICS-AS-00006,CISCE,Shiksha The Gurukul,​Tinsukia,Assam,,ICSE/ISC,,N. H. 37 Chotahapjan P. O. Borhapjan,,,
CB-ICS-BR-00001,CISCE,St. Joseph's School,​Banka,Bihar,,ICSE/ISC,,Jagatpur,,,
CB-ICS-BR-00002,CISCE,St. Paul's School,​Begusarai,Bihar,,ICSE/ISC,,Main Road Opposite G. D. College,,,
CB-ICS-BR-00003,CISCE,Carmel School,​Bhagalpur,Bihar,,ICSE/ISC,,Post Box #2 Barari Road,,,
CB-ICS-BR-00004,CISCE,Holy Family School,​Bhagalpur,Bihar,,ICSE/ISC,,"Bansiticker P.O, Bhagalpur, Bihar - 813210",,,
CB-ICS-BR-00005,CISCE,LD Don Bosco School,​Bhagalpur,Bihar,,ICSE/ISC,,"Swami Vivekanand Path,
Manik Sarkar,
Opposi",,,
CB-ICS-BR-00006,CISCE,Mount Assisi School,​Bhagalpur,Bihar,,ICSE/ISC,,13 Mahatma Gandhi Path,,,
CB-ICS-BR-00007,CISCE,"St. Joseph's School, Pakartalla",​Bhagalpur,Bihar,,ICSE/ISC,,"Pakartalla, Kahalgaon 
Bhagalpur Bihar -8132",,,
CB-ICS-BR-00008,CISCE,"St. Joseph's School, T.B. College",​Bhagalpur,Bihar,,ICSE/ISC,,"P. O. : T. N. B. College
Dt. Bhagalpur-81200... +",,,
CB-ICS-BR-00009,CISCE,St. Paul's School,​Bhagalpur,Bihar,,ICSE/ISC,,Karngarh C. T. S. Road Nathnagar,,,
CB-ICS-BR-00010,CISCE,St. Teresa's School,​Bhagalpur,Bihar,,ICSE/ISC,,Aliganj Near A. I. R. Transmission Khiriband,,,
CB-ICS-BR-00011,CISCE,Madonna English School,​Darbhanga,Bihar,,ICSE/ISC,,Alalpatti-P. O. D. M. C,,,
CB-ICS-BR-00012,CISCE,St. Joseph's School,​Jamui,Bihar,,ICSE/ISC,,Jhajha,,,
CB-ICS-BR-00014,CISCE,Don Bosco School,​Katihar,Bihar,,ICSE/ISC,,Mahant Nagar Katihar P. O. & District,,,
CB-ICS-BR-00015,CISCE,North Point Children's School,​Muzaffarpur,Bihar,,ICSE/ISC,,"P. O. Ramna, Sherpur, Narayanpur Anant, Muzaf",,,
CB-ICS-BR-00016,CISCE,Carmel High School,​Patna,Bihar,,ICSE/ISC,,"Bailey Road, Patna, Bihar - 800001",,,
CB-ICS-BR-00017,CISCE,Christ Church High School,​Patna,Bihar,,ICSE/ISC,,Congress Maidan Kadam Kuan,,,
CB-ICS-BR-00018,CISCE,Don Bosco Academy,​Patna,Bihar,,ICSE/ISC,,P. O. Digha Ghat,,,
CB-ICS-BR-00019,CISCE,International School,​Patna,Bihar,,ICSE/ISC,,Boring Patliputra Road Alpana Market,,,
CB-ICS-BR-00020,CISCE,Jesus and Mary Academy,​Patna,Bihar,,ICSE/ISC,,Hajiganj Kaimashikoh,,,
CB-ICS-BR-00021,CISCE,Lohia Nagar Mount Carmel High School,​Patna,Bihar,,ICSE/ISC,,"A/14 (Girl's Wing) Kankarbagh Colony, Patna,",,,
CB-ICS-BR-00022,CISCE,Red Carpet High School,​Patna,Bihar,,ICSE/ISC,,Road #2-A Rajendra Nagar,,,
CB-ICS-BR-00023,CISCE,Rose Bud School,​Patna,Bihar,,ICSE/ISC,,Shree Krishna Puri West,,,
CB-ICS-BR-00024,CISCE,St. Albert's High School,​Patna,Bihar,,ICSE/ISC,,Patel Nagar Patel Nagar,,,
CB-ICS-BR-00025,CISCE,St. John's High School,​Patna,Bihar,,ICSE/ISC,,East Boring Canal Road,,,
CB-ICS-BR-00026,CISCE,St. Joseph's Convent High School,​Patna,Bihar,,ICSE/ISC,,P. O. Bankipore,,,
CB-ICS-BR-00028,CISCE,St. M. G. Public School,​Patna,Bihar,,ICSE/ISC,,Mithapur Kannu Lal Road,,,
CB-ICS-BR-00029,CISCE,St. Paul's Academy,​Patna,Bihar,,ICSE/ISC,,M/6 Shree Krishna Nagar,,,
CB-ICS-BR-00030,CISCE,St. Paul's High School,​Patna,Bihar,,ICSE/ISC,,Fair Field Colony Digha,,,
CB-ICS-BR-00031,CISCE,St. Xavier's High School,​Patna,Bihar,,ICSE/ISC,,West Gandhi Maidan Gandhi Maidan Marg,,,
CB-ICS-BR-00032,CISCE,The Bishop's Heritage School,​Patna,Bihar,,ICSE/ISC,,P. O. & Village-Anandpur Beside Homeguard Cam,,,
CB-ICS-BR-00033,CISCE,Gems English School,​Rohtas,Bihar,,ICSE/ISC,,Dehri-On-Sone,,,
CB-ICS-CH-00001,CISCE,St. Stephen's School,​Chandigarh,Chandigarh,,ICSE/ISC,,Sector 45-B,,,
CB-ICS-CH-00002,CISCE,St. Xavier's Senior Secondary School,​Chandigarh,Chandigarh,,ICSE/ISC,,Sector 44-C,,,
CB-ICS-CH-00003,CISCE,Strawberry Fields World School,​Chandigarh,Chandigarh,,ICSE/ISC,,Sector 26,,,
CB-ICS-CH-00004,CISCE,Tender Heart School,​Chandigarh,Chandigarh,,ICSE/ISC,,Opposite H. #670 Sector 33-B,,,
CB-ICS-CG-00001,CISCE,Jesus & Mary School And College,​Balrampur,Chhattisgarh,,ICSE/ISC,,Tulsi Park,,,
CB-ICS-CG-00002,CISCE,Starwards Public School,​Balrampur,Chhattisgarh,,ICSE/ISC,,Near Kanshiram Colony Purani Bazar Tulsipur,,,
CB-ICS-CG-00003,CISCE,Deepti Convent School,​Bastar,Chhattisgarh,,ICSE/ISC,,Aghanpur Dhrampura Jagdalpur,,,
CB-ICS-CG-00004,CISCE,Nirmal Niketan School,​Bastar,Chhattisgarh,,ICSE/ISC,,Karli Dantewada South Bastar-Dantewada-494 44,,,
CB-ICS-CG-00005,CISCE,Prakash Vidyalaya,​Bastar,Chhattisgarh,,ICSE/ISC,,Bacheli South Bastar-Dantewada-494 553,,,
CB-ICS-CG-00006,CISCE,"Prakash Vidyalaya, Kirandul",​Bastar,Chhattisgarh,,ICSE/ISC,,Kirandul Bailadila South Bastar-Dantewada-494,,,
CB-ICS-CG-00007,CISCE,St. Xavier's High School,​Bastar,Chhattisgarh,,ICSE/ISC,,Chandni Chowk Saheed Park Road Jagadalpur,,,
CB-ICS-CG-00008,CISCE,St. Xavier's Senior Secondary School,​Dhamtari,Chhattisgarh,,ICSE/ISC,,Civil Court Road,,,
CB-ICS-CG-00009,CISCE,St. Xavier's High School,​Durg,Chhattisgarh,,ICSE/ISC,,Borsi-Dhanora Road P. O. Haunoda,,,
CB-ICS-CG-00010,CISCE,Carmel Convent Senior Secondary School,​Raigarh,Chhattisgarh,,ICSE/ISC,,,,,
CB-ICS-CG-00011,CISCE,Carmel Public School,​Raipur,Chhattisgarh,,ICSE/ISC,,Tulsi Tilda,,,
CB-ICS-CG-00012,CISCE,M. S. B. Educational Institute,​Raipur,Chhattisgarh,,ICSE/ISC,,Opposite Dr. Virdi C. T. Scan M. G. Road,,,
CB-ICS-CG-00013,CISCE,Rajkumar College,​Raipur,Chhattisgarh,,ICSE/ISC,,G. E. Road,,,
CB-ICS-CG-00014,CISCE,Sacred Heart High School,​Raipur,Chhattisgarh,,ICSE/ISC,,Baloda Bazar,,,
CB-ICS-CG-00015,CISCE,Salem English School,​Raipur,Chhattisgarh,,ICSE/ISC,,P. O. Box #46,,,
CB-ICS-CG-00016,CISCE,St. Xavier's High School,​Raipur,Chhattisgarh,,ICSE/ISC,,Near Avanti Vihar Colony Labhandi P. O. Ravig,,,
CB-ICS-CG-00017,CISCE,The Radiant Way School,​Raipur,Chhattisgarh,,ICSE/ISC,,Behind Pt. Ravi Shanker Shukla University,,,
CB-ICS-CG-00018,CISCE,Royal Kids' Convent,​Rajnandgaon,Chhattisgarh,,ICSE/ISC,,Lalbagh G. E. Road,,,
CB-ICS-CG-00019,CISCE,Carmel Convent Eng. Med. High School,​Surajpur,Chhattisgarh,,ICSE/ISC,,Bishrampur Post Office Bishrampur,,,
CB-ICS-DL-00001,CISCE,Swami Hariharanand Public School,​North Delhi,Delhi,,ICSE/ISC,,Yamuna Bazar,,,
CB-ICS-DL-00002,CISCE,The Frank Anthony Public School,​South Delhi,Delhi,,ICSE/ISC,,"Lajpat Nagar - IV, Delhi - 110024",,,
CB-ICS-GA-00001,CISCE,Sharada Mandir School,​North Goa,Goa,,ICSE/ISC,,Miramar Panaji,,,
CB-ICS-GA-00002,CISCE,Manovikas English Medium School,​South Goa,Goa,,ICSE/ISC,,Sonsoddo Gogol Fatorda Margao,,,
CB-ICS-GA-00003,CISCE,Mater Dei Institution,​South Goa,Goa,,ICSE/ISC,,Sali Gao Bardez,,,
CB-ICS-GJ-00001,CISCE,"Anand Niketan, Satellite",​Ahmedabad,Gujarat,,ICSE/ISC,,"B/h Novotel Hotel , Nr Asawari Tower,
Off S.",,,
CB-ICS-GJ-00002,CISCE,"Anand Niketan, Shilaj",​Ahmedabad,Gujarat,,ICSE/ISC,,"Nr Ambli Railway Crossing,
Thaltej",,,
CB-ICS-GJ-00003,CISCE,Divine International School,​Ahmedabad,Gujarat,,ICSE/ISC,,Nikol-Naroda Road Near Shukan Bungalows Nikol,,,
CB-ICS-GJ-00004,CISCE,Eklavya School,​Ahmedabad,Gujarat,,ICSE/ISC,,Village Sanathal P. O. Sarkhej,,,
CB-ICS-GJ-00005,CISCE,J.G. International School,​Ahmedabad,Gujarat,,ICSE/ISC,,"Jg Campus of Excellence, Off Sola Road... 079 2749 9315 / 2749 2315 /",,,
CB-ICS-GJ-00006,CISCE,Lalji Mehrotra Lions School,​Ahmedabad,Gujarat,,ICSE/ISC,,At. Ognaj Near Lions Eye Hospital Office Sark,,,
CB-ICS-GJ-00007,CISCE,Madhav International School,​Ahmedabad,Gujarat,,ICSE/ISC,,Pranaminagar Vastral Ahmedabad,,,
CB-ICS-GJ-00008,CISCE,S. G. V. P. International School,​Ahmedabad,Gujarat,,ICSE/ISC,,Sarkhej-Gandhinagar Highway Chharodi,,,
CB-ICS-GJ-00009,CISCE,S.D.A. Higher Secondary School,​Ahmedabad,Gujarat,,ICSE/ISC,,132 Ft. Ring Road Haripura Maninagar East... 079-25861452/,,,
CB-ICS-GJ-00010,CISCE,The New Tulip International School,​Ahmedabad,Gujarat,,ICSE/ISC,,Sterling City Bopal,,,
CB-ICS-GJ-00011,CISCE,"Zydus School For Excellence, Vejalpur",​Ahmedabad,Gujarat,,ICSE/ISC,,"Near Alka Park Bus Stop,
Vejalpur, Jivraj pa... +",,,
CB-ICS-GJ-00012,CISCE,Smt. S. M. Vaghasia English Medium School,​Amreli,Gujarat,,ICSE/ISC,,Chakkargadh Road,,,
CB-ICS-GJ-00013,CISCE,Queen of Angels' Convent Higher Secondary School,​Bharuch,Gujarat,,ICSE/ISC,,"At & P. O. Vadadla, Bharuch, Gujarat -392",,,
CB-ICS-GJ-00014,CISCE,Amarjyoti Saraswati International School,​Bhavnagar,Gujarat,,ICSE/ISC,,Kalvibid,,,
CB-ICS-GJ-00015,CISCE,Mother Teresa World School,​Gandhinagar,Gujarat,,ICSE/ISC,,663 Vadsar Near Air Force Station Gandhinagar,,,
CB-ICS-GJ-00016,CISCE,Swaminarayan Dham International School,​Gandhinagar,Gujarat,,ICSE/ISC,,Dholakuva Road P. O. Indroda,,,
CB-ICS-GJ-00017,CISCE,S.N.V. International School,​Kheda,Gujarat,,ICSE/ISC,,"Snv Campus, Nadiad-Uttarsanda-Bhumel Road, Na",,,
CB-ICS-GJ-00018,CISCE,Seventh-day Adventist Higher Secondary School,​Navsari,Gujarat,,ICSE/ISC,,Shyamnagar 3 Vijalpur,,,
CB-ICS-GJ-00019,CISCE,M. S. B. Educational Institute,​Panchmahal,Gujarat,,ICSE/ISC,,At & P. O. St  Taluk Godhra  Panchmahals-389,,,
CB-ICS-GJ-00020,CISCE,AL Madrasa Tus Saifiya Tul Burhaniah,​Rajkot,Gujarat,,ICSE/ISC,,Mohammadi Baug Opposite Railway Station Junct,,,
CB-ICS-GJ-00021,CISCE,S.N. Kansagra School,​Rajkot,Gujarat,,ICSE/ISC,,University Road,,,
CB-ICS-GJ-00022,CISCE,Saint Paul's School,​Rajkot,Gujarat,,ICSE/ISC,,P. B. #1519 Saurashtra University P. O,,,
CB-ICS-GJ-00023,CISCE,Angel English Medium School,​Surat,Gujarat,,ICSE/ISC,,Plot #97 Tadkuwa Village   Surat,,,
CB-ICS-GJ-00024,CISCE,Metas MCD School of Seventh-day Adventists,​Surat,Gujarat,,ICSE/ISC,,Post Box #24 Athwa Lines,,,
CB-ICS-GJ-00025,CISCE,Ryan International School,​Surat,Gujarat,,ICSE/ISC,,"NH-6, Tapti Railway Crossing Block #282, Vill",,,
CB-ICS-GJ-00027,CISCE,Seventh Day Adventist High School,​Surat,Gujarat,,ICSE/ISC,,Tichakpura Vyara,,,
CB-ICS-GJ-00028,CISCE,Billabong High International School,​Vadodara,Gujarat,,ICSE/ISC,,Vadsar Kalali Ring Road Opposite B. P. Petrol,,,
CB-ICS-GJ-00029,CISCE,Nalanda International School,​Vadodara,Gujarat,,ICSE/ISC,,Sevasi-Mahapura Road,,,
CB-ICS-GJ-00030,CISCE,Vibgyor High,​Vadodara,Gujarat,,ICSE/ISC,,"Opposite Banco Products,
Padra Road, Behind",,,
CB-ICS-GJ-00031,CISCE,Atul Vidyalaya,​Valsad,Gujarat,,ICSE/ISC,,At & P. O. Atul,,,
CB-ICS-GJ-00032,CISCE,Vapi Public School,​Valsad,Gujarat,,ICSE/ISC,,Survey #574/1 Vatar Main Road Vatar Vapi,,,
CB-ICS-HR-00001,CISCE,Bell Toll Public School,​Ambala,Haryana,,ICSE/ISC,,Industrial Area G. T. Road Ambala City,,,
CB-ICS-HR-00002,CISCE,St. Paul's High School,​Ambala,Haryana,,ICSE/ISC,,111 Model Town City,,,
CB-ICS-HR-00003,CISCE,Jiva Public School,​Faridabad,Haryana,,ICSE/ISC,,Sector 21-B,,,
CB-ICS-HR-00004,CISCE,Euro International School,​Gurgaon,Haryana,,ICSE/ISC,,Sector-45,,,
CB-ICS-HR-00005,CISCE,Golden Heights School,​Gurgaon,Haryana,,ICSE/ISC,,Plot #4 Sector 56,,,
CB-ICS-HR-00006,CISCE,Lord Jesus Public School,​Gurgaon,Haryana,,ICSE/ISC,,Vijay Park,,,
CB-ICS-HR-00007,CISCE,LT. Atul Katarya Memorial School,​Gurgaon,Haryana,,ICSE/ISC,,Opposite C. R. P. F. Camp,,,
CB-ICS-HR-00008,CISCE,Rishi Public School,​Gurgaon,Haryana,,ICSE/ISC,,Sector-31,,,
CB-ICS-HR-00009,CISCE,Scottish High International School,​Gurgaon,Haryana,,ICSE/ISC,,G-Block Sushant Lok II Sector 57,,,
CB-ICS-HR-00010,CISCE,Shikshantar Sr. Sec. School,​Gurgaon,Haryana,,ICSE/ISC,,J-Block South City I,,,
CB-ICS-HR-00011,CISCE,The Banyan Tree World School,​Gurgaon,Haryana,,ICSE/ISC,,Dlf Golf Course Road Plot #70 Sector 53,,,
CB-ICS-HR-00012,CISCE,The Shri Ram School,​Gurgaon,Haryana,,ICSE/ISC,,Moulsari Avenue Phase-3 D. L. F. City,,,
CB-ICS-HR-00014,CISCE,St. Kabir's Residential and Day School,​Hisar,Haryana,,ICSE/ISC,,"Sector 13 ( P ) Dabra Road, Hisar, Haryana -",,,
CB-ICS-HR-00015,CISCE,Christ Raja Convent School,​Jind,Haryana,,ICSE/ISC,,"Narwana Road, Shivpuri Colony Jind, Haryana -",,,
CB-ICS-HR-00016,CISCE,St. Mary's Convent School,​Jind,Haryana,,ICSE/ISC,,Patiala Road Narwana,,,
CB-ICS-HR-00017,CISCE,Adarsh Public School,​Karnal,Haryana,,ICSE/ISC,,Kunjpura Road Near Power House,,,
CB-ICS-HR-00018,CISCE,Little Flower Convent School,​Panchkula,Haryana,,ICSE/ISC,,Sector 14,,,
CB-ICS-HR-00019,CISCE,Saupin's School,​Panchkula,Haryana,,ICSE/ISC,,Sector 9,,,
CB-ICS-HR-00020,CISCE,St. Xavier's High School,​Panchkula,Haryana,,ICSE/ISC,,Sector 20,,,
CB-ICS-HR-00021,CISCE,St. Joseph's High School,​Sirsa,Haryana,,ICSE/ISC,,Mandi Dabwali,,,
CB-ICS-HR-00022,CISCE,St. Thomas Higher Secondary School,​Yamuna Nagar,Haryana,,ICSE/ISC,,Jagadhri-135 003,,,
CB-ICS-HP-00001,CISCE,Sacred Heart Senior Secondary School,​Chamba,Himachal Pradesh,,ICSE/ISC,,"Sacred Heart Senior Secondary School, Dalhous... +",,,
CB-ICS-HP-00002,CISCE,International Sahaja Public School,​Kangra,Himachal Pradesh,,ICSE/ISC,,Talnoo Dharamsala Cantt... 91 1892 221766/221225/221975/220916,,,
CB-ICS-HP-00003,CISCE,Mount Carmel High School,​Kangra,Himachal Pradesh,,ICSE/ISC,,Dhugiari (  ),,,
CB-ICS-HP-00004,CISCE,Mount Carmel School,​Kangra,Himachal Pradesh,,ICSE/ISC,,Thakurdwara,,,
CB-ICS-HP-00006,CISCE,Sacred Heart Sr. Sec. School,​Kangra,Himachal Pradesh,,ICSE/ISC,,P. O. Sidhpur ( Via ) Dari Dharamsala,,,
CB-ICS-HP-00007,CISCE,St. Paul's Senior Secondary School,​Kangra,Himachal Pradesh,,ICSE/ISC,,Palampur,,,
CB-ICS-HP-00008,CISCE,Day Star School,​Kullu,Himachal Pradesh,,ICSE/ISC,,Post Box #2 Manali,,,
CB-ICS-HP-00009,CISCE,Kullu Valley School,​Kullu,Himachal Pradesh,,ICSE/ISC,,Ramshila,,,
CB-ICS-HP-00010,CISCE,Our Lady of The Snows High School,​Kullu,Himachal Pradesh,,ICSE/ISC,,,,,
CB-ICS-HP-00011,CISCE,Trinity School,​Kullu,Himachal Pradesh,,ICSE/ISC,,Mohal,,,
CB-ICS-HP-00012,CISCE,Auckland House School,​Shimla,Himachal Pradesh,,ICSE/ISC,,,,,
CB-ICS-HP-00013,CISCE,Auckland House School For Boys,​Shimla,Himachal Pradesh,,ICSE/ISC,,Belvedere Shimla,,,
CB-ICS-HP-00014,CISCE,Bishop Cotton School,​Shimla,Himachal Pradesh,,ICSE/ISC,,,,,
CB-ICS-HP-00015,CISCE,E.C.I. Chalet Day School,​Shimla,Himachal Pradesh,,ICSE/ISC,,The Mall,,,
